username,sentiment_score,dominant_sentiment
cha.tanguay,75.11,Positive 😄
annafit.usa,79.23,Positive 😄
alyssatoddammon,78.1,Positive 😄
bicibavarese,100.0,Positive 😄
amy_cbandbp,77.32,Positive 😄
chaudronpastel,96.15,Positive 😄
andymtzurita,77.62,Positive 😄
brand_mii,84.54,Positive 😄
amythepro,77.44,Positive 😄
ashleywierenga,76.78,Positive 😄
aoife_walsh_x,79.05,Positive 😄
capponair,75.47,Positive 😄
brisbanegirlsabroad,77.09,Positive 😄
benjamin.murphy,84.18,Positive 😄
apronsandstilletos,82.34,Positive 😄
caitlynneier,76.04,Positive 😄
ashlee_stood,76.77,Positive 😄
carolsaraivafitness,77.14,Positive 😄
albertochoa05,78.79,Positive 😄
calumcurry,82.58,Positive 😄
beautyandcolour,77.04,Positive 😄
barbarafantini,0.0,Neutral 😐
amber_belovely,79.65,Positive 😄
alzatesara,75.72,Positive 😄
alahxa,76.67,Positive 😄
alexgarciamma,78.69,Positive 😄
anyabenton,76.12,Positive 😄
asim_cheema,81.62,Positive 😄
carolesdiary,81.82,Positive 😄
barasedlakova,77.52,Positive 😄
_autumnblaise,83.33,Positive 😄
boozechewsviews,80.61,Positive 😄
letsmingleblog,83.44,Positive 😄
bradleet,100.0,Positive 😄
andrewquo,75.82,Positive 😄
boyuba,76.04,Positive 😄
missemilyrochford,78.88,Positive 😄
anselmoprestini_,75.94,Positive 😄
alessandra,77.81,Positive 😄
aidanalexander,77.6,Positive 😄
ashcashbgash94,79.07,Positive 😄
anpaulinas,76.14,Positive 😄
acidicblitzz,80.0,Positive 😄
austin.mackay,77.44,Positive 😄
1043myfm,77.56,Positive 😄
chchiclifestyle,76.62,Positive 😄
bradgoreski,74.04,Positive 😄
brittlathrece,77.79,Positive 😄
antonio.thiery,79.36,Positive 😄
adogandacat,79.44,Positive 😄
aoioa,77.27,Positive 😄
00s_supermodels,87.5,Positive 😄
charity216,84.02,Positive 😄
bethandfood,79.36,Positive 😄
andersonsangels,94.44,Positive 😄
camihlima,75.56,Positive 😄
blingaholic88,79.5,Positive 😄
birdsparty,79.23,Positive 😄
ariellex3,82.61,Positive 😄
aflintoff11,75.92,Positive 😄
camillathurlow,75.57,Positive 😄
aveglitchi,77.06,Positive 😄
candid.mama,86.36,Positive 😄
amydotscott,77.48,Positive 😄
bskicksco,86.68,Positive 😄
brandon.suckz,90.62,Positive 😄
ada_damp,77.3,Positive 😄
allykmoore,78.7,Positive 😄
ashleypeavey,77.2,Positive 😄
abrowntable,78.79,Positive 😄
aladyinlondon,78.36,Positive 😄
aqua.skates,82.09,Positive 😄
alwaysdte,78.02,Positive 😄
camcambeauty21,78.49,Positive 😄
alicepmb,77.63,Positive 😄
alyssataliaferro,79.8,Positive 😄
chadia.arsalan,76.69,Positive 😄
carlytamara,85.0,Positive 😄
april.stephens,95.0,Positive 😄
barb_webb,78.25,Positive 😄
chop_suey87,75.47,Positive 😄
bennetttriplets,77.73,Positive 😄
chasingfrisbys,85.39,Positive 😄
chicprofessor,78.25,Positive 😄
bogdanmarkovicc,79.21,Positive 😄
asos_elizabeth,84.79,Positive 😄
brandonlarracuente,73.58,Positive 😄
audreycosty,75.66,Positive 😄
abbey_ginns,82.34,Positive 😄
benblack10,79.04,Positive 😄
apollojacksonofficial,75.6,Positive 😄
buildit.loveit.shareit,84.0,Positive 😄
barbaraschoumacher,78.45,Positive 😄
arvincruz,0.0,Neutral 😐
beatricebalaj,78.0,Positive 😄
aaronmichaelfm,97.83,Positive 😄
alvarodigital,100.0,Positive 😄
adamrobertsonphotography,75.0,Positive 😄
aspicyperspective,81.18,Positive 😄
breshell,81.05,Positive 😄
bentleyblonde,76.79,Positive 😄
cathyonthecoast,77.44,Positive 😄
arepopsblog,87.5,Positive 😄
ca.rocha,83.21,Positive 😄
awoofmakeup,84.62,Positive 😄
baris_belly,79.22,Positive 😄
blacksouthernbelle_bsb,83.33,Positive 😄
annayanta,83.03,Positive 😄
1_0.8,79.71,Positive 😄
alsiafy,86.14,Positive 😄
christiandawdesign,78.16,Positive 😄
bethgiusti_reallifemamadrama,80.06,Positive 😄
asassyspoon,76.96,Positive 😄
amiramohamed93,75.0,Positive 😄
aubree.morrell,87.5,Positive 😄
anna.mac_,76.74,Positive 😄
barrefaeli,76.21,Positive 😄
bradengoldsworthy,79.07,Positive 😄
blossomandjasmine,86.62,Positive 😄
alicelikeaudrey,76.65,Positive 😄
bessybarbeite,80.45,Positive 😄
cakesmyth,76.11,Positive 😄
beesnburlap,78.69,Positive 😄
breckhouse,79.99,Positive 😄
allstylelife,75.69,Positive 😄
amandapizziconi,75.32,Positive 😄
cane_secco,75.37,Positive 😄
alemomastyle,77.23,Positive 😄
abbygale.s,80.77,Positive 😄
bloomingdiyer,77.91,Positive 😄
_abix_,76.5,Positive 😄
briana.renee,77.35,Positive 😄
aneesa.sharif,77.88,Positive 😄
rachel_breakey,81.97,Positive 😄
cassieandrewsstyle,79.52,Positive 😄
benjaminfurland,0.0,Neutral 😐
anxietysupport,76.04,Positive 😄
champagneandsnottynoses,76.55,Positive 😄
balancingtoday,84.48,Positive 😄
barbielayo,76.71,Positive 😄
ashlyschwan,75.33,Positive 😄
altermebel18,100.0,Positive 😄
carlottadino1,75.21,Positive 😄
angeldavitkov,83.33,Positive 😄
capturinghappiness.co,76.63,Positive 😄
allthingsmikita,79.61,Positive 😄
aleexweb,85.19,Positive 😄
blackandbravewrestling,78.0,Positive 😄
azzurra_b_,76.82,Positive 😄
gracedbyhonor,78.74,Positive 😄
berrymalinowska,77.37,Positive 😄
carafit3,78.14,Positive 😄
being_bridget,74.62,Positive 😄
chiantygunawan,85.71,Positive 😄
blumarine,76.29,Positive 😄
anoregoncottage,88.89,Positive 😄
_cathylulu,79.85,Positive 😄
abelrinconv,78.99,Positive 😄
bouldercanyon,81.82,Positive 😄
carakilbey,78.54,Positive 😄
alexander_rux,77.62,Positive 😄
alexpaigeclark,79.52,Positive 😄
benpstanton,76.82,Positive 😄
carinaoppegaard,85.0,Positive 😄
beachykj,75.83,Positive 😄
brennan1103,0.0,Neutral 😐
alejandro__calvo,76.56,Positive 😄
bull1trc,74.38,Positive 😄
aggieku0201,81.75,Positive 😄
bunnymelv,81.48,Positive 😄
alemayr,78.57,Positive 😄
andrewcretaro,77.45,Positive 😄
ifthecookiefits,77.94,Positive 😄
beverlypham,81.44,Positive 😄
addicted_to_bargains,76.65,Positive 😄
aaronjv_,79.69,Positive 😄
cooutdoor,96.67,Positive 😄
_alyn_,77.96,Positive 😄
benruemusic,78.52,Positive 😄
adelicia410,82.11,Positive 😄
aaron.kitchin,75.0,Positive 😄
aaronnicholss,83.88,Positive 😄
bettywho,75.34,Positive 😄
963theblock,100.0,Positive 😄
allthingscount,77.89,Positive 😄
ashleybrookenicholas,77.7,Positive 😄
bitesofvncvr,78.93,Positive 😄
mademoiselle_cl,76.46,Positive 😄
brianjwhite,77.16,Positive 😄
choicindy7,100.0,Positive 😄
andreamazzuca11,76.68,Positive 😄
aarushiprasad,75.48,Positive 😄
benedictearntzen,79.63,Positive 😄
ashleymccardia,89.63,Positive 😄
asiyami_gold,72.77,Positive 😄
arimichellel,79.45,Positive 😄
baltimorefoodies,76.25,Positive 😄
cameronbtbl,75.35,Positive 😄
ben1sherlock,75.81,Positive 😄
bambi_showpu,100.0,Positive 😄
carly_treadway,77.42,Positive 😄
